Compound,mz,rt,UM1850B_ANGDT_0.25_mL_36_1_4792,UM1850B_ANGDT_0.25_mL_36_1_4802,UM1850B_ANGDT_0.25_mL_36_1_4815,UM1852B_Coculture_42_1_4685,UM1852B_Coculture_42_1_4695,UM1852B_Coculture_42_1_4709,UM1852B_Coculture_42_1_4785,UM1850B_ANGDT_48_1_4782,UM1850B_ANGDT_48_1_4794,UM1850B_ANGDT_48_1_4823,UM1852B_Coculture_0.25mgml_19_1_4812,UM1852B_Coculture_0.25mgml_19_1_4819,UM1852B_Coculture_0.25mgml_19_2_4820
554,602.981379333333,148.18,0,0,0,0,0,0,0,0,0,0,0,0,0
6021,672.345356,164.3,0,0,0,13931.15,12861.94,13345.32,0,0,0,0,0,0,0
11351,395.163108,431.84,0,0,0,2126.29,2166.28,2218.54,0,0,0,0,0,0,0
2264,540.213108,330.58,0,0,0,0,0,0,0,0,0,0,0,0,0
2715,430.158978,47.04,497.2,692.78,368.6,0,0,0,0,1227.9,1403.78,1104.12,0,0,0
2871,456.319858,50.12,0,0,0,0,0,0,0,0,0,0,0,0,0
3256,506.296958,56.4,0,0,0,0,0,0,0,0,0,0,0,0,0
3324,504.267518,58.36,0,0,0,0,0,0,0,0,0,0,0,0,0
6474,545.328498,169.46,0,0,0,0,0,0,0,629.77,628.86,687.74,286.78,0,0
6473,505.223638,169.44,0,0,0,0,0,0,0,0,510.7,0,0,0,0
9847,667.382608,225.55,0,0,0,0,0,0,0,0,0,0,0,0,0
6808,489.248848,174.3,0,0,0,1854.72,1911.32,2323.31,0,0,0,0,0,0,0
3839,388.174028,134.16,0,0,0,0,0,0,0,0,0,0,0,0,0
7974,409.284598,190.28,0,0,0,0,0,0,0,631.04,685.38,854.37,0,0,0
4032,392.219878,138.06,0,0,0,0,0,0,0,596.88,529.98,0,0,0,0
2671,280.129948,47.61,0,0,0,3136.26,3379.68,4348.95,0,0,0,0,0,0,0
6854,521.204938,175.53,0,0,0,0,0,0,0,1293.19,1532.28,1975.44,0,0,0
5841,499.298628,162.12,0,0,0,0,0,0,0,0,0,0,0,0,0
9913,487.114888,228.55,0,0,0,647.45,822.63,739.13,0,0,0,0,0,0,0
9461,439.293398,218.42,0,0,0,0,0,0,0,0,0,0,0,0,0
6603,401.172998,172.69,0,0,0,2678.88,2605.6,2605.63,0,0,0,0,0,0,0
4289,315.056478,142.38,2396.37,2356.8,2416.53,0,0,0,0,2644.35,2544.28,2465.39,2730.35,2756.89,2316.51
8643,467.230798,200.33,0,0,0,0,0,0,0,256.5,0,0,0,0,0
3944,419.208328,135.96,0,0,0,0,0,0,0,0,0,0,0,0,0
9777,639.384758,224.11,0,0,0,0,0,0,0,0,0,0,0,0,0
6546,522.269478,172.15,0,0,0,1078.68,1109.61,1100.89,0,0,0,0,0,0,0
5429,383.234728,159.25,0,0,0,0,0,0,0,0,0,0,0,0,0
5832,499.165688,162.02,0,0,0,0,0,0,0,0,0,0,0,0,0
2657,434.207858,46.71,1016.4,1044.97,839.77,0,0,0,0,2502.63,2642.23,2458.04,1055.8,1337.55,1286.9
7872,606.274708,189.14,0,0,0,0,0,0,0,0,0,0,0,0,0
8482,565.252468,198.53,0,0,0,0,0,0,0,541,431.3,598.39,0,0,0
10218,691.400398,236.07,0,0,0,0,0,0,0,0,0,0,0,0,0
3116,537.269138,53.53,0,0,0,0,0,0,0,0,0,0,0,0,0
57,529.334198,50.43,0,0,0,0,0,0,0,893.01,798.93,798.73,0,0,0
4093,569.328108,140.32,0,0,0,0,0,0,0,0,0,0,0,0,0
11576,587.350918,482.95,0,0,0,0,0,0,0,0,0,0,834.69,698.43,608.64
6370,396.196538,168.07,0,0,0,0,0,0,0,0,847.39,976.43,0,0,0
8080,502.264698,192.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2232,663.317388,317.45,0,0,0,1422.3,1788.88,1643.13,0,0,0,0,0,0,0
1773,845.465508,228.12,0,0,0,0,0,0,0,0,0,0,0,0,0
3443,267.097298,60.07,0,0,0,0,0,0,0,362.33,591.42,564.94,0,0,0
7372,534.227328,184.38,0,0,0,0,0,0,0,0,0,0,0,0,0
9228,562.8204226,213.03,0,0,0,0,0,0,0,0,0,0,0,0,0
10193,492.7778276,233.76,1881.06,1781.24,2150.67,0,0,0,0,6440.55,5863.5,7054.78,2875.38,2942.78,3082.71
4188,564.7924126,141.01,0,0,0,0,0,0,0,0,0,0,0,0,0
1213,586.8111276,193.43,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,807.4700126,219.11,0,0,0,0,0,0,0,0,0,0,0,0,0
1161,523.7630826,189.81,0,0,0,0,0,0,0,0,0,0,0,0,0
8025,779.8824226,194,0,0,0,0,0,0,0,0,0,0,0,0,0
678,607.2892626,156.78,0,0,0,0,0,0,0,0,0,0,0,0,0
7298,613.3618926,182.19,0,0,0,0,0,0,0,0,0,0,1059.43,1373.62,1199.02
507,611.3051226,145.52,0,0,0,0,0,0,0,0,0,0,0,0,0
